917519	CSCC[C@H](N)C(O)=NCC(O)=O
1048596	CC(C)=CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
1179671	CCCS(=O)(=O)c1ccc2nc(N=C(O)OC)[nH]c2c1
786442	COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O
524292	COc1cc2C[C@@H](C)[C@@H](C)Cc3cc4OCOc4c(OC)c3-c2c(OC)c1OC
917506	CSCC[C@H](N)C(=O)N1CCC[C@H]1C(O)=O
393227	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](OCCc3ccc(O)c(O)c3)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
1179679	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1441816	CC(C)N(CCC(CCN1CCCCC1)(C(O)=N)c1ccccc1Cl)C(C)=O
524313	CC(C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@@H]1CC[C@@H]3CN(C)[C@H]2[C@]13C
1310725	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@H](C)O[C@H]2O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3N=C(C)O)[C@@H](CO)O[C@@H](O)[C@@H]2N=C(C)O)[C@@H](O)[C@H](O)[C@@H]1O
1179648	CC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(C)ccc4[C@H]3CC[C@]12C
131089	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\C=C/C=C(\C)/C=C/C=C(/C)CC\C=C(/C)CCC=C(C)C
917533	CSCC[C@H](N)C(O)=N[C@@H](C)C(O)=O
786456	OC(=O)CCCC(O)=N[C@H](Cc1ccccc1)P(O)(=O)OCC(O)=NCCc1ccccc1
1179655	CCCS(=O)(=O)c1ccc2[nH]c(=N)[nH]c2c1
1048582	OC(=O)Cc1ccc(cc1)N(=O)=O
1441793	Cl.Cc1ccc(cc1)C12CC1CNC2
